Northing	 Easting	       	 Latitude	 Longitude
       	5426829.8	1748537.7	       	41 17 46.753 S	174 46 26.773 E
       	5426836.1	1748525.6	       	41 17 46.557 S	174 46 26.248 E
       	5426943.4	1748306.4	       	41 17 43.223 S	174 46 16.730 E
       	5426947.7	1748308.5	       	41 17 43.082 S	174 46 16.817 E
       	5428961.1	1748908.0	       	41 16 37.428 S	174 46 40.813 E
       	5427232.2	1749274.8	       	41 17 33.220 S	174 46 58.095 E
       	5427237.9	1749259.1	       	41 17 33.047 S	174 46 57.416 E
       	5426959.4	1749289.1	       	41 17 42.053 S	174 46 58.953 E
       	5426718.8	1748495.8	       	41 17 50.379 S	174 46 25.069 E
       	5428443.3	1748901.7	       	41 16 54.216 S	174 46 40.995 E
       	5428589.5	1748780.3	       	41 16 49.555 S	174 46 35.651 E
       	5428623.8	1748756.2	       	41 16 48.461 S	174 46 34.585 E
       	5427209.3	1749327.8	       	41 17 33.929 S	174 47 00.393 E
       	5427201.7	1749337.4	       	41 17 34.169 S	174 47 00.813 E
       	5427665.4	1748644.8	       	41 17 19.598 S	174 46 30.642 E
       	5427625.1	1748677.3	       	41 17 20.883 S	174 46 32.074 E
       	5427563.6	1748720.3	       	41 17 22.849 S	174 46 33.973 E
       	5427851.2	1748573.7	       	41 17 13.623 S	174 46 27.422 E
       	5427907.3	1748593.5	       	41 17 11.792 S	174 46 28.223 E
       	5427948.3	1748609.5	       	41 17 10.453 S	174 46 28.874 E
       	5427951.8	1748563.5	       	41 17 10.368 S	174 46 26.895 E
       	5428729.1	1748804.6	       	41 16 45.014 S	174 46 36.572 E
       	5428238.1	1748809.1	       	41 17 00.926 S	174 46 37.196 E
       	5428239.9	1748805.1	       	41 17 00.871 S	174 46 37.026 E
       	5428252.3	1748810.0	       	41 17 00.466 S	174 46 37.224 E
       	5428246.7	1748787.9	       	41 17 00.663 S	174 46 36.280 E
       	5428276.0	1748759.3	       	41 16 59.731 S	174 46 35.025 E
       	5428272.7	1748731.6	       	41 16 59.857 S	174 46 33.838 E
       	5428298.2	1748708.6	       	41 16 59.047 S	174 46 32.825 E
       	5428738.7	1748977.0	       	41 16 44.589 S	174 46 43.969 E
       	5428740.8	1748974.9	       	41 16 44.522 S	174 46 43.878 E
       	5428727.4	1748956.6	       	41 16 44.970 S	174 46 43.103 E
       	5428760.8	1748954.4	       	41 16 43.888 S	174 46 42.981 E
